source,frame,sub,field,index,expected,note
TAME,26,1,past_exc_pre_acb_q0,97,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,98,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,99,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,100,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,101,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,102,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,103,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,104,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,105,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,106,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,107,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,108,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,109,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,110,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,111,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,112,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,113,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,114,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,115,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,116,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,117,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,118,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,119,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,120,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,121,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,122,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,123,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,124,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,125,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,126,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,127,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,128,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,129,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,130,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,131,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,132,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,133,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,134,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,135,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,136,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,137,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,138,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,139,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,140,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,141,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,142,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,143,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,144,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,145,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,146,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,147,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,148,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,149,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,150,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,151,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,152,,blank_unavailable
TAME,26,1,excitation_u_q0,0,,blank_unavailable
TAME,26,1,excitation_u_q0,1,,blank_unavailable
TAME,26,1,excitation_u_q0,2,,blank_unavailable
TAME,26,1,excitation_u_q0,3,,blank_unavailable
TAME,26,1,excitation_u_q0,4,,blank_unavailable
TAME,26,1,excitation_u_q0,5,,blank_unavailable
TAME,26,1,excitation_u_q0,6,,blank_unavailable
TAME,26,1,excitation_u_q0,7,,blank_unavailable
TAME,26,1,excitation_u_q0,8,,blank_unavailable
TAME,26,1,excitation_u_q0,9,,blank_unavailable
