vector,frame,subframe,field,got
PITCH,567,-1,top_open_loop,33
PITCH,568,-1,top_open_loop,33
PITCH,569,-1,top_open_loop,49
PITCH,570,-1,top_open_loop,34
PITCH,571,-1,top_open_loop,103
PITCH,572,-1,top_open_loop,34
PITCH,573,-1,top_open_loop,33
PITCH,574,-1,top_open_loop,34
PITCH,575,-1,top_open_loop,35
PITCH,576,-1,top_open_loop,141
PITCH,577,-1,top_open_loop,68
PITCH,578,-1,top_open_loop,34
PITCH,579,-1,top_open_loop,34
PITCH,580,-1,top_open_loop,138
PITCH,581,-1,top_open_loop,34
PITCH,582,-1,top_open_loop,141
PITCH,583,-1,top_open_loop,69
PITCH,584,-1,top_open_loop,137
PITCH,585,-1,top_open_loop,33
PITCH,586,-1,top_open_loop,36
PITCH,587,-1,top_open_loop,34
PITCH,588,-1,top_open_loop,20
PITCH,589,-1,top_open_loop,35
PITCH,590,-1,top_open_loop,105
PITCH,591,-1,top_open_loop,36
PITCH,592,-1,top_open_loop,34
PITCH,593,-1,top_open_loop,36
PITCH,594,-1,top_open_loop,35
PITCH,595,-1,top_open_loop,142
PITCH,596,-1,top_open_loop,35
PITCH,597,-1,top_open_loop,141
PITCH,598,-1,top_open_loop,35
PITCH,599,-1,top_open_loop,34
PITCH,600,-1,top_open_loop,35
PITCH,601,-1,top_open_loop,142
PITCH,602,-1,top_open_loop,35
PITCH,603,-1,top_open_loop,35
PITCH,604,-1,top_open_loop,35
PITCH,605,-1,top_open_loop,140
PITCH,606,-1,top_open_loop,36
PITCH,607,-1,top_open_loop,20
PITCH,608,-1,top_open_loop,36
PITCH,609,-1,top_open_loop,109
PITCH,610,-1,top_open_loop,108
PITCH,611,-1,top_open_loop,35
PITCH,612,-1,top_open_loop,35
PITCH,613,-1,top_open_loop,47
PITCH,614,-1,top_open_loop,36
PITCH,615,-1,top_open_loop,36
PITCH,616,-1,top_open_loop,36
PITCH,617,-1,top_open_loop,36
PITCH,618,-1,top_open_loop,34
PITCH,619,-1,top_open_loop,34
PITCH,620,-1,top_open_loop,89
PITCH,621,-1,top_open_loop,36
PITCH,622,-1,top_open_loop,109
PITCH,623,-1,top_open_loop,36
PITCH,624,-1,top_open_loop,35
PITCH,625,-1,top_open_loop,36
PITCH,626,-1,top_open_loop,32
PITCH,627,-1,top_open_loop,37
PITCH,628,-1,top_open_loop,38
PITCH,629,-1,top_open_loop,36
PITCH,630,-1,top_open_loop,36
PITCH,631,-1,top_open_loop,36
