frame,t_op,int_t1,delta,plausible
851,50,48,-2,true
852,48,48,0,true
853,47,45,-2,true
854,57,48,-9,false
855,83,25,-58,false
856,50,49,-1,true
857,49,49,0,true
858,48,46,-2,true
859,50,49,-1,true
860,52,49,-3,true
861,20,20,0,true
862,49,46,-3,true
863,50,46,-4,true
864,50,49,-1,true
865,49,49,0,true
866,49,49,0,true
867,20,59,39,false
868,79,81,2,true
869,50,96,46,false
870,49,49,0,true
871,51,49,-2,true
872,50,49,-1,true
873,20,49,29,false
874,50,23,-27,false
875,50,50,0,true
876,51,50,-1,true
877,50,50,0,true
878,51,53,2,true
879,62,50,-12,false
880,28,20,-8,false
881,49,48,-1,true
882,50,50,0,true
883,51,50,-1,true
884,50,50,0,true
885,50,47,-3,true
886,78,55,-23,false
887,50,78,28,false
888,51,50,-1,true
889,50,50,0,true
890,52,51,-1,true
891,50,50,0,true
892,20,54,34,false
893,96,106,10,false
894,102,49,-53,false
895,52,52,0,true
896,51,51,0,true
897,52,51,-1,true
898,57,51,-6,false
899,21,20,-1,true
900,51,54,3,true
901,52,54,2,true
902,51,51,0,true
903,50,50,0,true
904,51,51,0,true
905,20,57,37,false
906,51,26,-25,false
907,51,51,0,true
908,52,51,-1,true
909,51,51,0,true
910,51,54,3,true
911,20,57,37,false
912,52,81,29,false
913,52,52,0,true
914,53,49,-4,true
915,52,52,0,true
916,51,52,1,true
917,111,52,-59,false
918,84,25,-59,false
919,53,55,2,true
920,52,52,0,true
921,53,52,-1,true
922,52,52,0,true
923,52,53,1,true
924,20,116,96,false
925,52,27,-25,false
926,52,52,0,true
927,53,54,1,true
928,52,52,0,true
929,52,55,3,true
930,75,60,-15,false
931,53,79,26,false
932,53,53,0,true
933,54,52,-2,true
934,53,53,0,true
935,54,53,-1,true
936,65,53,-12,false
937,25,22,-3,true
938,53,52,-1,true
939,53,50,-3,true
940,53,53,0,true
941,51,54,3,true
942,51,53,2,true
943,20,53,33,false
944,95,26,-69,false
945,53,52,-1,true
946,107,105,-2,true
947,53,52,-1,true
948,107,105,-2,true
949,20,111,91,false
950,99,105,6,false
951,54,57,3,true
952,54,54,0,true
953,54,57,3,true
954,54,54,0,true
955,20,57,37,false
956,97,111,14,false
957,55,52,-3,true
958,54,54,0,true
959,55,55,0,true
960,54,54,0,true
961,54,57,3,true
962,20,112,92,false
963,54,79,25,false
964,54,54,0,true
965,55,55,0,true
966,54,54,0,true
967,54,54,0,true
968,20,114,94,false
969,55,26,-29,false
970,55,55,0,true
971,55,55,0,true
972,55,55,0,true
973,55,55,0,true
974,20,60,40,false
975,99,112,13,false
976,56,52,-4,true
977,55,55,0,true
978,56,58,2,true
979,55,55,0,true
980,55,56,1,true
981,20,116,96,false
982,55,25,-30,false
983,55,55,0,true
984,55,56,1,true
985,54,55,1,true
986,55,55,0,true
987,20,61,41,false
988,99,110,11,false
989,57,53,-4,true
990,56,56,0,true
991,57,57,0,true
992,56,56,0,true
993,117,56,-61,false
994,86,23,-63,false
995,54,51,-3,true
996,56,109,53,false
997,56,56,0,true
998,57,59,2,true
999,61,56,-5,true
1000,21,20,-1,true
1001,56,103,47,false
1002,56,56,0,true
1003,55,56,1,true
1004,56,56,0,true
1005,56,60,4,true
1006,20,60,40,false
1007,57,32,-25,false
1008,57,57,0,true
1009,57,57,0,true
1010,57,56,-1,true
1011,57,58,1,true
1012,62,57,-5,true
1013,97,119,22,false
1014,58,54,-4,true
1015,57,57,0,true
1016,57,57,0,true
1017,57,54,-3,true
1018,68,57,-11,false
1019,22,20,-2,true
1020,57,102,45,false
1021,57,58,1,true
1022,56,58,2,true
1023,58,57,-1,true
1024,57,57,0,true
1025,20,59,39,false
1026,58,32,-26,false
1027,58,58,0,true
1028,58,58,0,true
1029,59,61,2,true
1030,58,58,0,true
1031,61,59,-2,true
1032,92,82,-10,false
1033,58,55,-3,true
1034,115,56,-59,false
1035,58,58,0,true
1036,59,61,2,true
1037,59,58,-1,true
1038,115,64,-51,false
1039,58,101,43,false
1040,58,58,0,true
1041,59,61,2,true
1042,58,58,0,true
1043,58,58,0,true
1044,20,65,45,false
1045,102,119,17,false
1046,60,56,-4,true
1047,59,59,0,true
1048,59,59,0,true
1049,60,61,1,true
1050,64,59,-5,true
1051,20,20,0,true
1052,59,106,47,false
1053,59,59,0,true
1054,60,61,1,true
1055,59,59,0,true
1056,57,59,2,true
1057,20,66,46,false
1058,101,26,-75,false
1059,59,60,1,true
1060,59,59,0,true
1061,59,59,0,true
1062,60,63,3,true
1063,20,62,42,false
1064,60,25,-35,false
1065,60,60,0,true
1066,60,60,0,true
1067,61,63,2,true
1068,60,60,0,true
1069,71,60,-11,false
1070,20,20,0,true
1071,60,101,41,false
1072,60,60,0,true
1073,61,57,-4,true
1074,60,60,0,true
1075,60,60,0,true
1076,20,126,106,false
1077,105,26,-79,false
1078,61,62,1,true
1079,60,60,0,true
1080,60,60,0,true
1081,60,63,3,true
1082,20,126,106,false
1083,93,25,-68,false
1084,122,59,-63,false
1085,61,62,1,true
1086,61,61,0,true
1087,62,60,-2,true
1088,68,61,-7,false
1089,20,20,0,true
1090,61,107,46,false
1091,61,61,0,true
1092,62,64,2,true
1093,61,61,0,true
1094,71,61,-10,false
1095,21,20,-1,true
1096,61,104,43,false
1097,61,61,0,true
1098,61,61,0,true
1099,60,61,1,true
1100,62,61,-1,true
1101,126,123,-3,true
1102,98,82,-16,false
1103,62,64,2,true
1104,63,64,1,true
1105,62,62,0,true
1106,62,62,0,true
1107,65,64,-1,true
1108,99,81,-18,false
1109,62,60,-2,true
1110,62,65,3,true
1111,62,62,0,true
1112,62,62,0,true
1113,62,64,2,true
1114,20,70,50,false
1115,104,26,-78,false
1116,63,65,2,true
1117,62,62,0,true
1118,62,62,0,true
1119,63,65,2,true
1120,20,74,54,false
1121,105,25,-80,false
1122,64,66,2,true
1123,63,63,0,true
1124,63,63,0,true
1125,63,66,3,true
1126,20,73,53,false
1127,107,26,-81,false
1128,63,65,2,true
1129,63,63,0,true
1130,63,63,0,true
1131,63,64,1,true
1132,63,66,3,true
1133,20,61,41,false
1134,89,21,-68,false
1135,62,63,1,true
1136,63,63,0,true
1137,63,63,0,true
1138,63,66,3,true
1139,20,77,57,false
1140,106,25,-81,false
1141,64,67,3,true
1142,64,64,0,true
1143,64,64,0,true
1144,64,64,0,true
1145,20,69,49,false
1146,105,24,-81,false
1147,64,67,3,true
1148,65,61,-4,true
1149,64,64,0,true
1150,64,64,0,true
1151,64,67,3,true
1152,20,139,119,false
1153,108,26,-82,false
1154,64,67,3,true
1155,64,64,0,true
1156,64,64,0,true
1157,64,64,0,true
1158,20,69,49,false
1159,101,82,-19,false
1160,65,68,3,true
1161,65,67,2,true
1162,65,65,0,true
1163,65,65,0,true
1164,64,65,1,true
1165,26,26,0,true
1166,65,111,46,false
1167,65,65,0,true
1168,65,66,1,true
1169,64,64,0,true
1170,71,65,-6,false
1171,21,20,-1,true
1172,65,109,44,false
1173,65,65,0,true
1174,65,65,0,true
1175,65,63,-2,true
1176,65,62,-3,true
1177,77,63,-14,false
1178,92,23,-69,false
1179,66,63,-3,true
1180,66,66,0,true
1181,66,66,0,true
1182,66,67,1,true
1183,20,71,51,false
1184,105,23,-82,false
1185,66,64,-2,true
1186,67,68,1,true
1187,66,66,0,true
1188,66,66,0,true
1189,65,66,1,true
1190,24,26,2,true
1191,66,112,46,false
1192,66,66,0,true
1193,66,63,-3,true
1194,67,67,0,true
1195,67,66,-1,true
1196,83,69,-14,false
1197,67,112,45,false
1198,67,67,0,true
1199,67,67,0,true
1200,67,67,0,true
1201,67,70,3,true
1202,20,143,123,false
1203,108,26,-82,false
1204,67,69,2,true
1205,68,69,1,true
1206,67,67,0,true
1207,67,67,0,true
1208,67,67,0,true
1209,23,25,2,true
1210,67,103,36,false
1211,67,67,0,true
1212,67,68,1,true
1213,67,70,3,true
1214,67,64,-3,true
1215,79,66,-13,false
1216,93,22,-71,false
1217,68,69,1,true
1218,68,68,0,true
1219,68,68,0,true
1220,68,68,0,true
1221,66,70,4,true
1222,98,85,-13,false
1223,68,64,-4,true
1224,67,69,2,true
1225,69,68,-1,true
1226,69,65,-4,true
1227,139,68,-71,false
1228,85,20,-65,false
1229,68,116,48,false
1230,68,68,0,true
1231,68,68,0,true
1232,68,68,0,true
1233,68,68,0,true
1234,20,71,51,false
1235,105,91,-14,false
1236,69,66,-3,true
1237,69,72,3,true
1238,69,71,2,true
1239,69,69,0,true
1240,142,69,-73,false
1241,87,20,-67,false
1242,69,114,45,false
1243,69,69,0,true
1244,69,69,0,true
1245,69,69,0,true
1246,66,69,3,true
1247,30,82,52,false
1248,69,111,42,false
1249,69,69,0,true
1250,69,69,0,true
1251,69,72,3,true
1252,69,66,-3,true
1253,78,63,-15,false
1254,102,20,-82,false
1255,70,73,3,true
1256,70,70,0,true
1257,70,70,0,true
1258,70,70,0,true
1259,137,70,-67,false
1260,22,25,3,true
1261,70,111,41,false
1262,70,69,-1,true
1263,70,70,0,true
1264,70,73,3,true
1265,70,73,3,true
1266,20,141,121,false
1267,113,25,-88,false
1268,70,73,3,true
1269,70,73,3,true
1270,70,69,-1,true
1271,70,70,0,true
1272,83,65,-18,false
1273,94,29,-65,false
1274,72,68,-4,true
1275,71,71,0,true
1276,71,71,0,true
1277,71,71,0,true
1278,67,71,4,true
1279,21,26,5,false
1280,71,112,41,false
1281,71,69,-2,true
1282,71,71,0,true
1283,71,74,3,true
1284,71,74,3,true
1285,20,81,61,false
1286,111,24,-87,false
1287,71,74,3,true
1288,71,71,0,true
1289,71,74,3,true
1290,71,68,-3,true
1291,78,64,-14,false
1292,112,20,-92,false
1293,72,74,2,true
1294,73,74,1,true
1295,72,72,0,true
1296,72,72,0,true
1297,81,72,-9,false
1298,93,20,-73,false
1299,72,117,45,false
1300,72,71,-1,true
1301,72,72,0,true
1302,72,72,0,true
1303,68,72,4,true
1304,25,23,-2,true
